24.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,24.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,24.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,24.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기
당기제품제조원가,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,당기제품제조원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,당기제품제조원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,당기제품제조원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
타계정대체(제품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,타계정대체(제품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(제품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(제품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
관세환급금,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,관세환급금,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,관세환급금,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,관세환급금,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
기말제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,기말제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기말제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기말제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
상품매출원가,"4,011,015,053 ","173,679,290,723 ","9,231,211,168 ",0 ,0 ,0 ,"1,922,747,531 ","188,844,264,475 ",,"182,910,501,891 ","5,933,762,584 ",,"5,933,762,584 ",상품매출원가,"417,393,992 ","103,635,362,658 ","7,228,479,572 ",0 ,0 ,0 ,"2,030,622,800 ","113,311,859,022 ",0 ,"110,863,842,230 ","8,381,779,376 ","5,933,762,584 ","2,448,016,792 ",상품매출원가,"414,822,463 ","198,826,449,288 ","7,135,087,025 ",0 ,0 ,0 ,"2,134,582,473 ","208,510,941,249 ",0 ,"205,961,536,313 ","10,931,184,312 ","8,381,779,376 ","2,549,404,936 ",상품매출원가,"2,043,692,344 ","188,024,511,432 ","8,471,847,191 ",0 ,0 ,0 ,"2,386,294,941 ","200,926,345,908 ",0 ,"196,496,358,623 ","15,361,171,597 ","10,931,184,312 ","4,429,987,285 "
기초상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,기초상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기초상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기초상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
당기매입액,0 ,"173,679,290,723 ",0 ,0 ,0 ,0 ,"(173,679,290,723)",0 ,,,0 ,,0 ,당기매입액,0 ,"103,635,362,658 ",0 ,0 ,0 ,0 ,"(103,635,362,658)",0 ,0 ,0 ,0 ,0 ,0 ,당기매입액,0 ,"198,826,449,288 ",0 ,0 ,0 ,0 ,"(198,826,449,288)",0 ,0 ,0 ,0 ,0 ,0 ,당기매입액,0 ,"188,024,511,432 ",0 ,0 ,0 ,0 ,"(188,024,511,432)",0 ,0 ,0 ,0 ,0 ,0 
타계정대체(상품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,타계정대체(상품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(상품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(상품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
기말상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,기말상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기말상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기말상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
임대원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,임대원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,임대원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,임대원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
