25.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2025년 누적,2025년 전분기 누적,2025년 1분기 연결,25.2Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인머트,세르지오,단순합계,연결조정분개,연결조정분개,2025년 누적,2025년 전분기 누적,2025년 2분기 연결,25.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2025년 누적,2025년 전분기 누적,2025년 3분기,25.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2025년 누적,2025년 전분기 누적,2025년 4분기,
당기제품제조원가,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,당기제품제조원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,당기제품제조원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,당기제품제조원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
타계정대체(제품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,타계정대체(제품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(제품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(제품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
관세환급금,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,관세환급금,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,관세환급금,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,관세환급금,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
기말제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,기말제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기말제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기말제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
상품매출원가,"1,593,436,412 ","203,777,800,995 ","9,671,179,051 ",0 ,0 ,0 ,"2,242,623,408 ","217,285,039,866 ",,"213,448,980,046 ","3,836,059,820 ",,"3,836,059,820 ",상품매출원가,"(24,923,247)","135,221,796,721 ","6,988,081,515 ",0 ,0 ,0 ,"2,332,520,356 ","144,517,475,345 ",0 ,"142,209,878,236 ","6,143,656,929 ","3,836,059,820 ","2,307,597,109 ",상품매출원가,"917,520,205 ","208,506,423,417 ","8,019,465,037 ",0 ,0 ,0 ,"2,722,660,519 ","220,166,069,178 ",0 ,"216,525,888,454 ","9,783,837,653 ","6,143,656,929 ","3,640,180,724 ",상품매출원가,"724,424,031 ","183,758,529,630 ","10,131,376,881 ",0 ,0 ,0 ,"5,428,757,307 ","200,043,087,849 ",0 ,"193,889,906,511 ","15,937,018,991 ","9,783,837,653 ","6,153,181,338 ",
기초상품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,기초상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기초상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기초상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
당기매입액,,"203,777,800,995 ",0 ,0 ,0 ,0 ,0 ,"203,777,800,995 ",,,"203,777,800,995 ",,"203,777,800,995 ",당기매입액,0 ,"135,221,796,721 ",0 ,0 ,0 ,0 ,0 ,"135,221,796,721 ",0 ,0 ,"338,999,597,716 ","203,777,800,995 ","135,221,796,721 ",당기매입액,0 ,"208,506,423,417 ",0 ,0 ,0 ,0 ,0 ,"208,506,423,417 ",0 ,0 ,"547,506,021,133 ","338,999,597,716 ","208,506,423,417 ",당기매입액,0 ,"183,758,529,630 ",0 ,0 ,0 ,0 ,0 ,"183,758,529,630 ",0 ,0 ,"731,264,550,763 ","547,506,021,133 ","183,758,529,630 ",
타계정대체(상품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,타계정대체(상품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(상품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(상품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
기말상품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,기말상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기말상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기말상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
임대원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,임대원가,"231,793,334 ",0 ,0 ,0 ,0 ,0 ,0 ,"231,793,334 ",0 ,0 ,"231,793,334 ",0 ,"231,793,334 ",임대원가,"178,670,506 ",0 ,0 ,0 ,0 ,0 ,0 ,"178,670,506 ",0 ,0 ,"410,463,840 ","231,793,334 ","178,670,506 ",임대원가,"198,336,397 ",0 ,0 ,0 ,0 ,0 ,0 ,"198,336,397 ",0 ,0 ,"608,800,237 ","410,463,840 ","198,336,397 ",
