24.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 03월 31일,2023년 12월 31일,24.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 06월 30일,2023년 12월 31일,24.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 09월 30일,2023년 12월 31일,24.4Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인먼트,세르지오,단순합계,연결분개 DR,연결분개 CR,Dr,Cr,2024년 12월 31일,2023년 12월 31일
유동성보증금,"1,920,348,000","1,582,308,063","2,638,533,222",0,"100,000,000",0,"39,238,183","6,280,427,468",,,"6,280,427,468","7,659,976,351",유동성보증금,"2,945,960,000","2,621,198,883","3,066,046,053",0,"80,000,000",0,"24,174,219","8,737,379,155",,,"8,737,379,155","7,659,976,351",유동성보증금,"3,027,730,000","2,440,728,865","3,148,338,887",0,"80,000,000",0,"221,668,915","8,918,466,667",,,"8,838,466,667","7,659,976,351",유동성보증금,"5,317,412,500","2,382,006,241","2,898,880,837",0,"80,000,000",0,"11,114,773","10,689,414,351",,,,"80,000,000",10609414351,7659976351
현재가치할인차금(유동),"-15,520,464","-175,640,836",0,0,0,0,0,"-191,161,300",,,"-191,161,300","-206,441,094",현재가치할인차금(유동),"-49,234,902","-201,174,040",0,0,0,0,0,"-250,408,942",,,"-250,408,942","-206,441,094",현재가치할인차금(유동),"-39,689,794","-203,923,765",0,0,0,0,0,"-243,613,559",,,"-243,613,559","-206,441,094",현재가치할인차금(유동),"-97,151,712","-243,197,266",0,0,0,0,0,"-340,348,978",,,,,-340348978,-206441094
유동리스채권(순투자),"619,388,537",0,0,0,0,0,0,"619,388,537",,,"619,388,537","604,169,241",유동리스채권(순투자),"634,827,867",0,0,0,0,0,0,"634,827,867",,,"634,827,867","604,169,241",유동리스채권(순투자),"650,490,417",0,0,0,0,0,0,"650,490,417",,,"650,490,417","604,169,241",유동리스채권(순투자),"552,326,500",0,0,0,0,0,0,"552,326,500",,,,,552326500,604169241
단기대여금,"8,754,200,000",0,0,0,0,0,"5,444,731,465","14,198,931,465",,"8,754,200,000","5,444,731,465","5,212,679,500",단기대여금,0,0,0,0,0,0,"5,616,142,672","5,616,142,672",,0,"5,616,142,672","5,212,679,500",단기대여금,0,0,0,0,0,0,"3,490,503,183","3,490,503,183",,0,"3,490,503,183","5,212,679,500",단기대여금,0,0,0,0,0,0,"3,888,329,556","3,888,329,556",,0,,,3888329556,5212679500
단기대여금대손충당금,0,0,0,0,0,0,"-5,444,731,465","-5,444,731,465",,,"-5,444,731,465","-5,212,679,500",단기대여금대손충당금,0,0,0,0,0,0,"-5,616,142,672","-5,616,142,672",,,"-5,616,142,672","-5,212,679,500",단기대여금대손충당금,0,0,0,0,0,0,"-3,490,503,183","-3,490,503,183",,,"-3,490,503,183","-5,212,679,500",단기대여금대손충당금,0,0,0,0,0,0,"-3,888,329,556","-3,888,329,556",,,,,-3888329556,-5212679500
미수수익,"411,939,558",0,0,0,0,0,0,"411,939,558",,"411,939,558",0,0,미수수익,"639,540,860",0,0,0,0,0,0,"639,540,860",,"639,540,860",0,0,미수수익,"640,613,907",0,0,0,0,0,0,"640,613,907",,"640,613,907",0,0,미수수익,"1,021,958,437",0,0,0,0,0,0,"1,021,958,437",,"1,021,028,108",,,930329,0
미수수익대손충당금,0,0,0,0,0,0,0,0,,,0,0,미수수익대손충당금,0,0,0,0,0,0,0,0,,,0,0,미수수익대손충당금,0,0,0,0,0,0,0,0,,,0,0,미수수익대손충당금,0,0,0,0,0,0,0,0,,,,,0,0
선급부가세,0,0,0,0,0,0,0,0,,,0,0,선급부가세,0,0,0,0,0,0,0,0,,,0,0,선급부가세,0,0,0,0,0,0,0,0,,,0,0,선급부가세,0,0,0,0,0,0,0,0,,,,,0,0
선급금,"1,320,882,868","1,123,157,508",0,"657,030","1,461,415,291","803,387,820",0,"4,709,500,517",,"4,751,129","4,704,749,388","5,287,472,563",선급금,"1,572,981,338","21,897,722,827",0,"660,660","1,053,170,450","456,148,398",0,"24,980,683,673",,"16,768,989,216","8,211,694,457","5,287,472,563",선급금,"1,013,503,623","7,206,950,385",0,"648,560","1,219,255,443","5,900,564,513",0,"15,340,922,524",,0,"14,121,667,081","5,287,472,563",선급금,"2,238,881,377","30,040,151,207",0,0,"1,219,255,443","300,843,192",0,"33,799,131,219",,"25,519,391,797",,"1,219,255,443",7060483979,5287472563
선급금대손충당금,0,,,,"-276,000,000",0,0,"-276,000,000",,,"-276,000,000","-276,000,000",선급금대손충당금,0,,,,"-276,000,000",0,0,"-276,000,000",,,"-276,000,000","-276,000,000",선급금대손충당금,0,,,,"-276,000,000",0,0,"-276,000,000",,,0,"-276,000,000",선급금대손충당금,0,,,,"-276,000,000",0,0,"-276,000,000",,,,"-276,000,000",0,-276000000
