24.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,2023년 누적,2023년 전분기 누적,2023년 당분기,24.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,2023년 누적,2023년 전분기 누적,2023년 당분기,24.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,2023년 누적,2023년 전분기 누적,2023년 당분기,24.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,2023년 누적,2023년 전분기 누적,2023년 당분기
당기제품제조원가,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,0 ,,0 ,당기제품제조원가,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,당기제품제조원가,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,당기제품제조원가,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
타계정대체(제품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,0 ,,0 ,타계정대체(제품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(제품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(제품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
관세환급금,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,0 ,,0 ,관세환급금,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,관세환급금,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,관세환급금,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
기말제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,0 ,,0 ,기말제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기말제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기말제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
상품매출원가,"4,011,015,053 ","173,679,290,723 ","9,231,211,168 ",0 ,0 ,0 ,"1,922,747,531 ","188,844,264,475 ",,"182,910,501,891 ","5,933,762,584 ",,"5,933,762,584 ","4,220,785,856 ",,"4,220,785,856 ",상품매출원가,"4,428,409,045 ","277,314,653,381 ","16,459,690,740 ",0 ,0 ,0 ,"3,953,370,331 ","302,156,123,497 ",,"293,774,344,121 ","8,381,779,376 ","5,933,762,584 ","2,448,016,792 ","7,693,386,132 ","4,220,785,856 ","3,472,600,276 ",상품매출원가,"4,843,231,508 ","476,141,102,669 ","23,594,777,765 ",0 ,0 ,0 ,"6,087,952,804 ","510,667,064,746 ",,"499,735,880,434 ","10,931,184,312 ","8,381,779,376 ","2,549,404,936 ","10,439,496,250 ","7,693,386,132 ","2,746,110,118 ",상품매출원가,"6,886,923,852 ","664,165,614,101 ","32,066,624,956 ",0 ,0 ,0 ,"8,474,247,745 ","711,593,410,654 ",,"696,232,239,057 ","15,361,171,597 ","10,931,184,312 ","4,429,987,285 ","14,647,095,263 ","10,439,496,250 ","4,207,599,013 "
기초상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,0 ,,0 ,기초상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기초상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기초상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
당기매입액,0 ,"173,679,290,723 ",0 ,0 ,0 ,0 ,"(173,679,290,723)",0 ,,,0 ,,0 ,0 ,,0 ,당기매입액,0 ,"277,314,653,381 ",0 ,0 ,0 ,0 ,"(277,314,653,381)",0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,당기매입액,0 ,"476,141,102,669 ",0 ,0 ,0 ,0 ,"(476,141,102,669)",0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,당기매입액,0 ,"664,165,614,101 ",0 ,0 ,0 ,0 ,"(664,165,614,101)",0 ,,,0 ,0 ,0 ,0 ,0 ,0 
타계정대체(상품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,0 ,,0 ,타계정대체(상품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(상품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(상품),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
기말상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,0 ,,0 ,기말상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기말상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기말상품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
임대원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,0 ,,0 ,임대원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,임대원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,임대원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
