25.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,,25.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,,25.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,,25.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,
과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기,과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기,과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기,과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기
임대원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,0 ,,0 ,임대원가,"231,793,334 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"231,793,334 ",,,"231,793,334 ",0 ,"231,793,334 ",0 ,0 ,0 ,임대원가,"410,463,840 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"410,463,840 ",,,"410,463,840 ","231,793,334 ","178,670,506 ",0 ,0 ,0 ,임대원가,"410,463,840 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"410,463,840 ",,,"410,463,840 ","231,793,334 ","178,670,506 ",0 ,0 ,0 
물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,0 ,,0 ,물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
기타매출원가,"588,571,683 ",0 ,0 ,"115,046,874 ",0 ,"1,530,162,809 ",0 ,"(244,602,552)",,"31,675,033 ","1,957,503,781 ",0 ,"115,046,874 ","1,842,456,907 ",,"1,842,456,907 ","3,594,624,662 ",,"3,594,624,662 ",기타매출원가,"1,245,548,244 ",0 ,0 ,"266,462,816 ",0 ,"3,585,643,122 ",0 ,"(219,395,699)",,"52,180,455 ","4,826,078,028 ",0 ,"266,462,816 ","4,559,615,212 ","1,842,456,907 ","2,717,158,305 ","7,861,690,535 ","3,594,624,662 ","4,267,065,872 ",기타매출원가,"1,973,946,478 ",0 ,0 ,"412,140,429 ",0 ,"8,124,655,289 ",0 ,"(64,588,238)",,"85,594,490 ","10,360,559,468 ",,"412,140,429 ","9,948,419,039 ","4,559,615,212 ","5,388,803,827 ","22,722,861,633 ","7,861,690,535 ","14,861,171,098 ",기타매출원가,"1,973,946,478 ",0 ,0 ,"412,140,429 ",0 ,"8,124,655,289 ",0 ,"(64,588,238)",,"85,594,490 ","10,360,559,468 ",,"412,140,429 ","9,948,419,039 ","4,559,615,212 ","5,388,803,827 ","22,722,861,633 ","7,861,690,535 ","14,861,171,098 "
Ⅲ.매출총이익,"251,676,932,150 ","54,762,255,731 ","10,991,534,030 ","18,711,695 ",0 ,"(768,845,109)","31,675,033 ","6,507,453,452 ",,,"323,219,716,982 ",,,"329,733,300,873 ",,"329,733,300,874 ","332,483,971,441 ",,"332,483,971,441 ",Ⅲ.매출총이익,"456,292,105,127 ","90,243,513,337 ","19,745,601,683 ","20,746,128 ",0 ,"(1,691,310,206)","52,180,455 ","13,118,462,673 ",,,"577,781,299,197 ",,,"588,639,763,603 ","329,733,300,874 ","258,906,462,729 ","603,782,498,774 ","332,483,971,441 ","271,298,527,333 ",Ⅲ.매출총이익,"764,921,982,760 ","165,656,361,899 ","28,634,431,330 ","12,530,657 ",0 ,"(3,494,665,142)","85,594,490 ","26,172,762,265 ",,,"981,988,998,259 ",,,"897,594,364,837 ","588,639,763,603 ","308,954,601,234 ","888,703,757,457 ","603,782,498,774 ","284,921,258,683 ",Ⅲ.매출총이익,"764,921,982,760 ","165,656,361,899 ","28,634,431,330 ","12,530,657 ",0 ,"(3,494,665,142)","85,594,490 ","26,172,762,265 ",,,"981,988,998,259 ",,,"897,594,364,837 ","588,639,763,603 ","308,954,601,234 ","888,703,757,457 ","603,782,498,774 ","284,921,258,683 "
Ⅳ.판매비와관리비,"139,699,386,898 ","48,651,782,890 ","10,988,975,260 ","6,215,987 ",0 ,"768,871,604 ","60,317,683 ","5,482,670,897 ",,0 ,"205,658,221,219 ",,,"206,116,912,814 ",,"206,116,912,814 ","202,272,969,941 ",,"202,272,969,941 ",Ⅳ.판매비와관리비,"263,714,992,967 ","84,473,091,814 ","19,555,733,149 ","12,259,760 ",0 ,"1,601,872,436 ","138,214,182 ","11,042,674,678 ",,0 ,"380,538,838,986 ",,,"380,993,473,664 ","206,116,912,814 ","174,876,560,850 ","381,770,311,693 ","202,272,969,941 ","179,497,341,752 ",Ⅳ.판매비와관리비,"379,777,023,395 ","129,832,864,246 ","29,690,786,560 ","20,545,799 ",0 ,"2,545,454,016 ","191,682,925 ","18,646,994,379 ",,0 ,"560,705,351,320 ",,,"561,928,396,829 ","380,993,473,664 ","180,934,923,165 ","558,386,704,039 ","381,770,311,693 ","176,616,392,346 ",Ⅳ.판매비와관리비,"379,777,023,395 ","129,832,864,246 ","29,690,786,560 ","20,545,799 ",0 ,"2,545,454,016 ","191,682,925 ","18,646,994,379 ",,0 ,"560,705,351,320 ",,,"561,928,396,829 ","380,993,473,664 ","180,934,923,165 ","558,386,704,039 ","381,770,311,693 ","176,616,392,346 "
급여,"8,628,580,129 ","7,850,637,692 ","2,109,398,123 ",0 ,0 ,"390,823,774 ",0 ,"1,088,554,272 ",,,"20,067,993,990 ","108,247,168 ",,"20,176,241,158 ",,"20,176,241,158 ","18,472,184,788 ",,"18,472,184,788 ",급여,"18,239,279,048 ","14,870,251,798 ","3,832,530,401 ",0 ,0 ,"837,004,802 ",0 ,"1,911,408,198 ",,,"39,690,474,247 ","249,160,614 ",,"39,939,634,861 ","20,176,241,158 ","19,763,393,703 ","39,261,900,014 ","18,472,184,788 ","20,789,715,226 ",급여,"26,766,758,561 ","21,604,402,725 ","6,283,545,105 ",0 ,0 ,"1,259,054,243 ",0 ,"2,955,069,324 ",,,"58,868,829,958 ","382,300,590 ",,"59,251,130,548 ","39,939,634,861 ","19,311,495,686 ","58,004,275,331 ","39,261,900,014 ","18,742,375,317 ",급여,"26,766,758,561 ","21,604,402,725 ","6,283,545,105 ",0 ,0 ,"1,259,054,243 ",0 ,"2,955,069,324 ",,,"58,868,829,958 ","382,300,590 ",,"59,251,130,548 ","39,939,634,861 ","19,311,495,686 ","58,004,275,331 ","39,261,900,014 ","18,742,375,317 "
퇴직급여,"1,126,853,049 ",0 ,"300,714,660 ",0 ,0 ,"34,766,007 ",0 ,0 ,,,"1,462,333,716 ",,,"1,462,333,716 ",,"1,462,333,716 ","1,186,177,343 ",,"1,186,177,343 ",퇴직급여,"2,208,958,889 ",0 ,"295,142,590 ",0 ,0 ,"70,612,866 ",0 ,0 ,,,"2,574,714,345 ",,,"2,574,714,345 ","1,462,333,716 ","1,112,380,629 ","2,397,834,446 ","1,186,177,343 ","1,211,657,103 ",퇴직급여,"3,314,762,725 ",0 ,0 ,0 ,0 ,"214,605,160 ",0 ,0 ,,,"3,529,367,885 ",,,"3,529,367,885 ","2,574,714,345 ","954,653,540 ","3,581,389,497 ","2,397,834,446 ","1,183,555,051 ",퇴직급여,"3,314,762,725 ",0 ,0 ,0 ,0 ,"214,605,160 ",0 ,0 ,,,"3,529,367,885 ",,,"3,529,367,885 ","2,574,714,345 ","954,653,540 ","3,581,389,497 ","2,397,834,446 ","1,183,555,051 "
복리후생비,"1,392,752,542 ","2,811,620,235 ","46,223,843 ",0 ,0 ,"44,699,370 ",0 ,"130,906,441 ",,,"4,426,202,431 ",0 ,"2,472,421 ","4,423,730,010 ",,"4,423,730,010 ","3,795,866,461 ",,"3,795,866,461 ",복리후생비,"2,710,126,571 ","5,153,214,324 ","85,114,030 ",0 ,0 ,"95,347,185 ",0 ,"327,000,930 ",,,"8,370,803,040 ",0 ,"3,142,102 ","8,367,660,938 ","4,423,730,010 ","3,943,930,928 ","7,263,207,389 ","3,795,866,461 ","3,467,340,928 ",복리후생비,"3,650,676,910 ","7,723,720,560 ","126,229,333 ",0 ,0 ,"139,812,588 ",0 ,"457,077,377 ",,,"12,097,516,768 ",0 ,"5,075,970 ","12,092,440,798 ","8,367,660,938 ","3,724,779,860 ","11,135,106,234 ","7,263,207,389 ","3,871,898,845 ",복리후생비,"3,650,676,910 ","7,723,720,560 ","126,229,333 ",0 ,0 ,"139,812,588 ",0 ,"457,077,377 ",,,"12,097,516,768 ",0 ,"5,075,970 ","12,092,440,798 ","8,367,660,938 ","3,724,779,860 ","11,135,106,234 ","7,263,207,389 ","3,871,898,845 "
여비교통비,"237,380,279 ","99,639,558 ","26,682,171 ",0 ,0 ,"8,716,739 ",0 ,"48,214,788 ",,,"420,633,535 ",,,"420,633,535 ",,"420,633,535 ","528,325,585 ",,"528,325,585 ",여비교통비,"429,210,091 ","208,875,558 ","45,059,635 ",0 ,0 ,"21,735,741 ",0 ,"72,694,369 ",,,"777,575,394 ",,,"777,575,394 ","420,633,535 ","356,941,859 ","974,522,231 ","528,325,585 ","446,196,646 ",여비교통비,"582,877,421 ","376,459,209 ","81,124,296 ",0 ,0 ,"44,094,981 ",0 ,"76,486,444 ",,,"1,161,042,351 ",,,"1,161,042,351 ","777,575,394 ","383,466,957 ","1,418,303,799 ","974,522,231 ","443,781,568 ",여비교통비,"582,877,421 ","376,459,209 ","81,124,296 ",0 ,0 ,"44,094,981 ",0 ,"76,486,444 ",,,"1,161,042,351 ",,,"1,161,042,351 ","777,575,394 ","383,466,957 ","1,418,303,799 ","974,522,231 ","443,781,568 "
통신비,"154,343,718 ","13,778,595 ","18,494,115 ","27,373 ",0 ,"5,857,514 ",0 ,0 ,,,"192,501,315 ",,,"192,501,315 ",,"192,501,315 ","186,053,416 ",,"186,053,416 ",통신비,"293,227,218 ","25,780,909 ","36,747,363 ","145,385 ",0 ,"12,142,511 ",0 ,0 ,,,"368,043,386 ",,,"368,043,386 ","192,501,315 ","175,542,071 ","394,098,076 ","186,053,416 ","208,044,660 ",통신비,"438,485,931 ","45,973,198 ","55,158,446 ","248,083 ",0 ,"18,868,575 ",0 ,0 ,,,"558,734,233 ",,,"558,734,233 ","368,043,386 ","190,690,847 ","562,254,523 ","394,098,076 ","168,156,447 ",통신비,"438,485,931 ","45,973,198 ","55,158,446 ","248,083 ",0 ,"18,868,575 ",0 ,0 ,,,"558,734,233 ",,,"558,734,233 ","368,043,386 ","190,690,847 ","562,254,523 ","394,098,076 ","168,156,447 "
수도광열비,"613,770,457 ","90,942,305 ","92,927,850 ",0 ,0 ,"5,521,027 ",0 ,"2,967,334 ",,,"806,128,973 ",,,"806,128,973 ",,"806,128,973 ","687,488,923 ",,"687,488,923 ",수도광열비,"1,023,779,640 ","165,544,932 ","194,947,314 ",0 ,0 ,"9,026,299 ",0 ,"5,346,764 ",,,"1,398,644,949 ",,,"1,398,644,949 ","806,128,973 ","592,515,976 ","1,204,188,233 ","687,488,923 ","516,699,310 ",수도광열비,"1,720,517,519 ","259,108,158 ","312,412,723 ",0 ,0 ,"13,765,512 ",0 ,"9,745,991 ",,,"2,315,549,903 ",,,"2,315,549,903 ","1,398,644,949 ","916,904,954 ","2,017,701,689 ","1,204,188,233 ","813,513,456 ",수도광열비,"1,720,517,519 ","259,108,158 ","312,412,723 ",0 ,0 ,"13,765,512 ",0 ,"9,745,991 ",,,"2,315,549,903 ",,,"2,315,549,903 ","1,398,644,949 ","916,904,954 ","2,017,701,689 ","1,204,188,233 ","813,513,456 "
세금과공과,"746,074,062 ","621,246,640 ",0 ,"114,200 ",0 ,"16,852,453 ",0 ,"147,324,187 ",,,"1,531,611,542 ",,,"1,531,611,542 ",,"1,531,611,542 ","1,505,640,485 ",,"1,505,640,485 ",세금과공과,"2,577,447,225 ","886,608,949 ",0 ,"111,200 ",0 ,"32,262,190 ",0 ,"284,951,596 ",,,"3,781,381,160 ",,,"3,781,381,160 ","1,531,611,542 ","2,249,769,618 ","3,249,763,476 ","1,505,640,485 ","1,744,122,991 ",세금과공과,"2,983,224,872 ","1,185,067,435 ",0 ,"109,200 ",0 ,"48,430,140 ",0 ,"393,362,131 ",,,"4,610,193,778 ",,,"4,610,193,778 ","3,781,381,160 ","828,812,618 ","4,274,732,060 ","3,249,763,476 ","1,024,968,584 ",세금과공과,"2,983,224,872 ","1,185,067,435 ",0 ,"109,200 ",0 ,"48,430,140 ",0 ,"393,362,131 ",,,"4,610,193,778 ",,,"4,610,193,778 ","3,781,381,160 ","828,812,618 ","4,274,732,060 ","3,249,763,476 ","1,024,968,584 "
임차료,"5,846,303,420 ","1,301,286,715 ","2,014,914,944 ",0 ,0 ,0 ,0 ,0 ,,,"9,162,505,079 ","6,799,706 ",,"9,169,304,785 ",,"9,169,304,785 ","8,218,611,448 ",,"8,218,611,448 ",임차료,"10,312,310,436 ","867,480,699 ","4,056,990,535 ",0 ,0 ,0 ,0 ,0 ,,,"15,236,781,670 ","17,302,202 ",,"15,254,083,872 ","9,169,304,785 ","6,084,779,087 ","14,403,207,725 ","8,218,611,448 ","6,184,596,277 ",임차료,"14,441,034,967 ","2,915,753,102 ","5,567,586,505 ",0 ,0 ,0 ,0 ,0 ,,,"22,924,374,574 ","29,839,839 ",,"22,954,214,413 ","15,254,083,872 ","7,700,130,542 ","20,652,616,941 ","14,403,207,725 ","6,249,409,216 ",임차료,"14,441,034,967 ","2,915,753,102 ","5,567,586,505 ",0 ,0 ,0 ,0 ,0 ,,,"22,924,374,574 ","29,839,839 ",,"22,954,214,413 ","15,254,083,872 ","7,700,130,542 ","20,652,616,941 ","14,403,207,725 ","6,249,409,216 "
대손상각비,"(222,188,194)",0 ,0 ,0 ,0 ,0 ,0 ,"760,095,512 ",,,"537,907,318 ",,,"537,907,318 ",,"537,907,318 ","64,301,741 ",,"64,301,741 ",대손상각비,"(517,152,699)",0 ,0 ,0 ,0 ,"3,300,000 ",0 ,"1,483,357,036 ",,,"969,504,337 ",,,"969,504,337 ","537,907,318 ","431,597,019 ","490,268,898 ","64,301,741 ","425,967,157 ",대손상각비,"(487,983,793)",0 ,0 ,0 ,0 ,"3,300,000 ",0 ,"4,081,555,679 ",,,"3,596,871,886 ",,,"3,596,871,886 ","969,504,337 ","2,627,367,549 ","1,000,775,727 ","490,268,898 ","510,506,829 ",대손상각비,"(487,983,793)",0 ,0 ,0 ,0 ,"3,300,000 ",0 ,"4,081,555,679 ",,,"3,596,871,886 ",,,"3,596,871,886 ","969,504,337 ","2,627,367,549 ","1,000,775,727 ","490,268,898 ","510,506,829 "
보험료,"173,497,691 ","4,647,654 ","106,873,711 ",0 ,0 ,"4,960,070 ",0 ,"9,120,134 ",,,"299,099,260 ",,,"299,099,260 ",,"299,099,260 ","349,780,860 ",,"349,780,860 ",보험료,"307,064,772 ","118,907,730 ","223,598,195 ",0 ,0 ,"5,365,770 ",0 ,"28,451,076 ",,,"683,387,543 ",,,"683,387,543 ","299,099,260 ","384,288,283 ","748,091,311 ","349,780,860 ","398,310,451 ",보험료,"441,810,103 ","118,673,513 ","347,475,322 ",0 ,0 ,"5,365,770 ",0 ,"51,918,267 ",,,"965,242,975 ",,,"965,242,975 ","683,387,543 ","281,855,432 ","1,055,265,055 ","748,091,311 ","307,173,744 ",보험료,"441,810,103 ","118,673,513 ","347,475,322 ",0 ,0 ,"5,365,770 ",0 ,"51,918,267 ",,,"965,242,975 ",,,"965,242,975 ","683,387,543 ","281,855,432 ","1,055,265,055 ","748,091,311 ","307,173,744 "
광고선전비,"8,142,667,811 ","14,553,644,003 ","533,656,492 ",0 ,0 ,0 ,0 ,"1,379,107,960 ",,,"24,609,076,266 ",,,"24,609,076,266 ",,"24,609,076,266 ","24,096,577,900 ",,"24,096,577,900 ",광고선전비,"16,630,918,662 ","23,672,408,629 ","1,087,781,174 ",0 ,0 ,0 ,0 ,"2,765,360,499 ",,,"44,156,468,964 ",,"8,143,000 ","44,148,325,964 ","24,609,076,266 ","19,539,249,698 ","41,052,061,107 ","24,096,577,900 ","16,955,483,207 ",광고선전비,"23,314,258,534 ","40,000,171,938 ","1,672,757,179 ",0 ,0 ,0 ,0 ,"4,227,474,083 ",,,"69,214,661,734 ",,"34,698,182 ","69,179,963,552 ","44,148,325,964 ","25,031,637,588 ","60,954,134,367 ","41,052,061,107 ","19,902,073,260 ",광고선전비,"23,314,258,534 ","40,000,171,938 ","1,672,757,179 ",0 ,0 ,0 ,0 ,"4,227,474,083 ",,,"69,214,661,734 ",,"34,698,182 ","69,179,963,552 ","44,148,325,964 ","25,031,637,588 ","60,954,134,367 ","41,052,061,107 ","19,902,073,260 "
차량유지비,"131,034,980 ","29,310,601 ",0 ,0 ,0 ,"3,202,200 ",0 ,0 ,,,"163,547,781 ",,,"163,547,781 ",,"163,547,781 ","193,169,477 ",,"193,169,477 ",차량유지비,"265,275,484 ","51,550,930 ",0 ,0 ,0 ,"6,847,758 ",0 ,0 ,,,"323,674,172 ",,,"323,674,172 ","163,547,781 ","160,126,391 ","379,741,836 ","193,169,477 ","186,572,359 ",차량유지비,"373,819,688 ","79,035,466 ",0 ,0 ,0 ,"11,780,304 ",0 ,0 ,,,"464,635,458 ",,,"464,635,458 ","323,674,172 ","140,961,286 ","562,476,220 ","379,741,836 ","182,734,384 ",차량유지비,"373,819,688 ","79,035,466 ",0 ,0 ,0 ,"11,780,304 ",0 ,0 ,,,"464,635,458 ",,,"464,635,458 ","323,674,172 ","140,961,286 ","562,476,220 ","379,741,836 ","182,734,384 "
교육훈련비,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,0 ,,0 ,교육훈련비,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,교육훈련비,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,교육훈련비,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
접대비,"108,351,791 ","18,958,169 ",0 ,"544,539 ",0 ,"4,219,367 ",0 ,0 ,,,"132,073,866 ",,,"132,073,866 ",,"132,073,866 ","108,674,826 ",,"108,674,826 ",접대비,"185,835,120 ","28,302,808 ",0 ,"530,235 ",0 ,"7,298,287 ",0 ,0 ,,,"221,966,450 ",,,"221,966,450 ","132,073,866 ","89,892,584 ","214,419,240 ","108,674,826 ","105,744,414 ",접대비,"284,620,206 ","53,485,904 ",0 ,"520,698 ",0 ,"12,682,897 ",0 ,0 ,,,"351,309,705 ",,,"351,309,705 ","221,966,450 ","129,343,255 ","346,980,646 ","214,419,240 ","132,561,406 ",접대비,"284,620,206 ","53,485,904 ",0 ,"520,698 ",0 ,"12,682,897 ",0 ,0 ,,,"351,309,705 ",,,"351,309,705 ","221,966,450 ","129,343,255 ","346,980,646 ","214,419,240 ","132,561,406 "
운반비,0 ,"4,353,186,101 ","1,216,857,502 ",0 ,0 ,0 ,0 ,"357,750,588 ",,,"5,927,794,191 ",,,"5,927,794,191 ",,"5,927,794,191 ","6,120,455,293 ",,"6,120,455,293 ",운반비,0 ,"7,519,113,052 ","2,165,978,458 ",0 ,0 ,0 ,0 ,"758,729,850 ",,,"10,443,821,360 ",,,"10,443,821,360 ","5,927,794,191 ","4,516,027,169 ","9,960,587,862 ","6,120,455,293 ","3,840,132,569 ",운반비,0 ,"12,387,466,988 ","3,184,397,101 ",0 ,0 ,0 ,0 ,"1,189,142,955 ",,,"16,761,007,044 ",,,"16,761,007,044 ","10,443,821,360 ","6,317,185,684 ","15,655,258,244 ","9,960,587,862 ","5,694,670,382 ",운반비,0 ,"12,387,466,988 ","3,184,397,101 ",0 ,0 ,0 ,0 ,"1,189,142,955 ",,,"16,761,007,044 ",,,"16,761,007,044 ","10,443,821,360 ","6,317,185,684 ","15,655,258,244 ","9,960,587,862 ","5,694,670,382 "
소모품비,"1,678,005,433 ","474,922,109 ","105,656,228 ","369,934 ",0 ,"4,085,789 ",0 ,"371,332,959 ",,,"2,634,372,452 ",,0 ,"2,634,372,452 ",,"2,634,372,452 ","3,359,748,839 ",,"3,359,748,839 ",소모품비,"2,856,744,083 ","1,313,363,799 ","229,148,236 ","723,764 ",0 ,"6,835,106 ",0 ,"770,953,831 ",,,"5,177,768,819 ",,"46,156,692 ","5,131,612,127 ","2,634,372,452 ","2,497,239,675 ","6,149,852,281 ","3,359,748,839 ","2,790,103,442 ",소모품비,"3,994,411,556 ","1,857,570,547 ","437,951,580 ","1,067,756 ",0 ,"12,278,278 ",0 ,"1,199,668,467 ",,,"7,502,948,184 ",,"72,711,874 ","7,430,236,310 ","5,131,612,127 ","2,298,624,183 ","9,267,557,697 ","6,149,852,281 ","3,117,705,416 ",소모품비,"3,994,411,556 ","1,857,570,547 ","437,951,580 ","1,067,756 ",0 ,"12,278,278 ",0 ,"1,199,668,467 ",,,"7,502,948,184 ",,"72,711,874 ","7,430,236,310 ","5,131,612,127 ","2,298,624,183 ","9,267,557,697 ","6,149,852,281 ","3,117,705,416 "
지급수수료,"98,102,027,353 ","8,798,507,132 ","1,124,243,210 ","5,159,941 ",0 ,"31,642,612 ","51,799,052 ","1,076,825,764 ",,,"109,190,205,064 ",,"329,818,947 ","108,860,386,117 ",,"108,860,386,117 ","112,649,640,349 ",,"112,649,640,349 ",지급수수료,"180,123,137,159 ","15,841,343,714 ","2,016,291,681 ","10,749,176 ",0 ,"66,525,795 ","121,466,845 ","2,410,298,192 ",,,"200,589,812,562 ",,"1,083,253,633 ","199,506,558,929 ","108,860,386,117 ","90,646,172,812 ","211,145,962,889 ","112,649,640,349 ","98,496,322,540 ",지급수수료,"258,952,447,434 ","22,007,374,268 ","3,218,465,244 ","18,600,062 ",0 ,"110,187,750 ","166,828,445 ","3,671,016,476 ",,,"288,144,919,679 ",,"1,048,761,523 ","287,096,158,156 ","199,506,558,929 ","87,589,599,227 ","301,915,220,426 ","211,145,962,889 ","90,769,257,537 ",지급수수료,"258,952,447,434 ","22,007,374,268 ","3,218,465,244 ","18,600,062 ",0 ,"110,187,750 ","166,828,445 ","3,671,016,476 ",,,"288,144,919,679 ",,"1,048,761,523 ","287,096,158,156 ","199,506,558,929 ","87,589,599,227 ","301,915,220,426 ","211,145,962,889 ","90,769,257,537 "
관리수수료,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,0 ,,0 ,관리수수료,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,관리수수료,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,관리수수료,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
영업운영비,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,0 ,,0 ,영업운영비,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,영업운영비,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,영업운영비,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
감가상각비,"9,949,258,258 ","7,530,108,354 ","3,123,263,271 ",0 ,0 ,"157,118,578 ",0 ,"110,470,958 ",,,"20,870,219,419 ",,,"20,870,219,419 ",,"20,870,219,419 ","18,718,342,892 ",,"18,718,342,892 ",감가상각비,"20,348,231,403 ","13,552,492,281 ","4,999,738,735 ",0 ,0 ,"319,295,357 ",0 ,"224,122,337 ",,,"39,443,880,113 ",,,"39,443,880,113 ","20,870,219,419 ","18,573,660,694 ","38,091,611,319 ","18,718,342,892 ","19,373,268,427 ",감가상각비,"30,388,548,319 ","18,922,539,705 ","8,005,386,939 ",0 ,0 ,"481,642,324 ",0 ,"334,477,185 ",,,"58,132,594,472 ",,,"58,132,594,472 ","39,443,880,113 ","18,688,714,359 ","57,437,262,002 ","38,091,611,319 ","19,345,650,683 ",감가상각비,"30,388,548,319 ","18,922,539,705 ","8,005,386,939 ",0 ,0 ,"481,642,324 ",0 ,"334,477,185 ",,,"58,132,594,472 ",,,"58,132,594,472 ","39,443,880,113 ","18,688,714,359 ","57,437,262,002 ","38,091,611,319 ","19,345,650,683 "
무형자산상각비,"2,846,079,182 ","99,347,027 ",0 ,0 ,0 ,"7,950,000 ","8,518,631 ",0 ,,,"2,961,894,840 ","675,936,089 ",0 ,"3,637,830,929 ",,"3,637,830,929 ","1,846,820,001 ",,"1,846,820,001 ",무형자산상각비,"5,620,116,607 ","197,851,702 ",0 ,0 ,0 ,"15,900,000 ","16,747,337 ",0 ,,,"5,850,615,646 ","1,328,867,289 ",0 ,"7,179,482,935 ","3,637,830,929 ","3,541,652,006 ","4,011,174,545 ","1,846,820,001 ","2,164,354,544 ",무형자산상각비,"8,430,062,372 ","296,061,530 ","3,537,733 ",0 ,0 ,"26,046,150 ","24,854,480 ",0 ,,,"8,780,562,265 ","1,972,152,629 ",,"10,752,714,894 ","7,179,482,935 ","3,573,231,959 ","7,932,616,506 ","4,011,174,545 ","3,921,441,961 ",무형자산상각비,"8,430,062,372 ","296,061,530 ","3,537,733 ",0 ,0 ,"26,046,150 ","24,854,480 ",0 ,,,"8,780,562,265 ","1,972,152,629 ",,"10,752,714,894 ","7,179,482,935 ","3,573,231,959 ","7,932,616,506 ","4,011,174,545 ","3,921,441,961 "
