25.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,,25.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,,25.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,,25.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,
과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기,과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기,과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기,과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기
기초제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,0 ,,0 ,기초제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기초제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기초제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
당기제품제조원가,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,0 ,,0 ,당기제품제조원가,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,당기제품제조원가,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,당기제품제조원가,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
타계정대체(제품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,0 ,,0 ,타계정대체(제품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(제품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,타계정대체(제품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
관세환급금,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,0 ,,0 ,관세환급금,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,관세환급금,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,관세환급금,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
기말제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,0 ,,0 ,기말제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기말제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기말제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
상품매출원가,"1,593,436,412 ","203,777,800,995 ","9,671,179,051 ",0 ,0 ,0 ,0 ,"2,242,623,408 ",,,"217,285,039,866 ",,"213,448,980,046 ","3,836,059,820 ",,"3,836,059,820 ","5,933,762,584 ",,"5,933,762,584 ",상품매출원가,"1,568,513,165 ","338,999,597,716 ","16,659,260,566 ",0 ,0 ,0 ,0 ,"4,575,143,764 ",,,"361,802,515,211 ",,"355,658,858,282 ","6,143,656,929 ","3,836,059,820 ","2,307,597,109 ","8,381,779,376 ","5,933,762,584 ","2,448,016,792 ",상품매출원가,"2,486,033,370 ","547,506,021,133 ","24,678,725,603 ",0 ,0 ,0 ,0 ,"7,297,804,283 ",,,"581,968,584,389 ",,"572,184,746,736 ","9,783,837,653 ","6,143,656,929 ","3,640,180,724 ","10,931,184,312 ","8,381,779,376 ","2,549,404,936 ",상품매출원가,"2,486,033,370 ","547,506,021,133 ","24,678,725,603 ",0 ,0 ,0 ,0 ,"7,297,804,283 ",,,"581,968,584,389 ",,"572,184,746,736 ","9,783,837,653 ","6,143,656,929 ","3,640,180,724 ","10,931,184,312 ","8,381,779,376 ","2,549,404,936 "
기초상품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,,,0 ,기초상품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,#REF!,#REF!,#REF!,기초상품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,#REF!,#REF!,#REF!,기초상품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,#REF!,#REF!,#REF!
당기매입액,,"203,777,800,995 ",0 ,0 ,0 ,0 ,0 ,0 ,,,"203,777,800,995 ",,,"203,777,800,995 ",,"203,777,800,995 ",,,0 ,당기매입액,,"338,999,597,716 ",0 ,0 ,0 ,0 ,0 ,0 ,,,"338,999,597,716 ",,,"338,999,597,716 ","203,777,800,995 ","135,221,796,721 ",#REF!,#REF!,#REF!,당기매입액,,"547,506,021,133 ",0 ,0 ,0 ,0 ,0 ,0 ,,,"547,506,021,133 ",,,"547,506,021,133 ","338,999,597,716 ","208,506,423,417 ",#REF!,#REF!,#REF!,당기매입액,,"547,506,021,133 ",0 ,0 ,0 ,0 ,0 ,0 ,,,"547,506,021,133 ",,,"547,506,021,133 ","338,999,597,716 ","208,506,423,417 ",#REF!,#REF!,#REF!
타계정대체(상품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,,,0 ,타계정대체(상품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,#REF!,#REF!,#REF!,타계정대체(상품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,#REF!,#REF!,#REF!,타계정대체(상품),,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,#REF!,#REF!,#REF!
기말상품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,,,0 ,기말상품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,#REF!,#REF!,#REF!,기말상품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,#REF!,#REF!,#REF!,기말상품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,#REF!,#REF!,#REF!
